,dtime,sales,price
199,2017-08-01,8836,8.17
200,2017-09-01,8430,8.13
201,2017-10-01,7934,7.95
202,2017-11-01,7068,7.64
203,2017-12-01,7344,7.37
204,2018-01-01,8404,7.59
205,2018-02-01,7264,7.55
206,2018-03-01,6563,8.01
207,2018-04-01,6717,7.7
208,2018-05-01,7336,7.55
209,2018-06-01,8676,7.7
210,2018-07-01,9073,8.15
211,2018-08-01,9080,8.1
212,2018-09-01,8879,7.62
213,2018-10-01,8084,7.33
214,2018-11-01,6880,7.55
215,2018-12-01,7230,7.57
216,2019-01-01,7681,7.28
217,2019-02-01,7169,7.44
218,2019-03-01,6822,7.67
219,2019-04-01,6737,7.58
220,2019-05-01,7017,8.12
221,2019-06-01,8431,7.83
222,2019-07-01,9037,8.06
223,2019-08-01,9043,7.89
224,2019-09-01,9049,7.79
225,2019-10-01,8138,7.93
226,2019-11-01,6963,7.58
227,2019-12-01,7043,7.12
228,2020-01-01,7230,7.25
229,2020-02-01,6919,6.92
230,2020-03-01,6681,7.13
231,2020-04-01,6603,7.01
232,2020-05-01,6624,7.45
233,2020-06-01,7818,7.48
234,2020-07-01,8485,7.63
235,2020-08-01,8574,7.55
236,2020-09-01,8042,7.77
237,2020-10-01,7049,8.2
